package	version	path	kind	mode	bytes	sha256	linkTarget	finalDisposition	collisionPolicy
ncurses	6.6-2	usr/share/terminfo/70/pro350	data	644	543	9c9cfdb3af956944b3fc3e4a8ff9ee6cc271e87c3326227a0481e69f17f6146e		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/ps300	data	644	964	7c301fc7ccc7fb1d0f63ad366e487e18fe758ddd0b06d11db1ab7ea4e79eabfc		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm	data	644	521	d0f1d1961f5f7ac4eb6bc9c30d2a2160b021832f8a60da8d8dcf2073e2e870a9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm-80x24	data	644	515	5b7fa5c7684c48191c665e5473c2f53fa184261009c30c65b7166ca6a2b26a36		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm-90x28	data	644	515	f58421dd129db562dbd1feef653b7c0a27e4e289063972ceb2e80c1dd10581ee		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm-96x48	data	644	515	a2d26cb4ac157d61fe75743256b089c1d8e4342a51e75844a849e06a5ef11a4d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm-basic	data	644	521	d0f1d1961f5f7ac4eb6bc9c30d2a2160b021832f8a60da8d8dcf2073e2e870a9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psterm-fast	data	644	509	81494dc03d8dc2eed0ee44e3216dc7eff04e6a5eb556816c09f3f790bd647b7f		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/psx_ansi	data	644	476	3b979e8c648bccdf6d0f1cdbc44856d9daf30da1567387a329325126369f60cd		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt100	data	644	615	e3f846175929cb3a99c9bead78050985a1b2731a273b1e1ecb2afb85a79bdf1f		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt100w	data	644	631	ac0ef601cf990547872d43a1cd4900b78d1c5dfef2522e077e9bff7139845334		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt200	data	644	615	e3f846175929cb3a99c9bead78050985a1b2731a273b1e1ecb2afb85a79bdf1f		pending-final-package	exclusive-owner
