path	sourcePackage	sourceVersion	ownershipCommit
usr/bin/gpgsm.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgsplit.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgtar.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgv.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/grep.exe	grep	1~3.0-7	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/groups.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gzip.exe	gzip	1.14-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/head.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/hmac256.exe	libgcrypt	1.12.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/hostid.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/hostname.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/iconv.exe	iconv	1.19-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/id.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/infocmp.exe	ncurses	6.6-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/infotocap.exe	ncurses	6.6-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/install.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/join.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/kbxutil.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
